bom_stn_num,name,lat,long,state,location_types,forecast_site_classification,basin,agency,featreal,objectid
7101,Munarra,-26.2822,118.6933,WA,"rain gauge;",data,Murchison River,Private owner,2024/10/10 00:00:00,8235
7103,Neds Creek,-25.48,119.6492,WA,"rain gauge;",data,Salt Lake,Private owner,2024/10/10 00:00:00,8236
7104,Pingandy,-23.9958,117.5225,WA,"rain gauge;",data,Ashburton River,Private owner,2024/10/10 00:00:00,8237
7105,Woodlands,-24.8083,118.1105,WA,"rain gauge;",data,Gascoyne River,Private owner,2024/10/10 00:00:00,8238
7119,Ashburton Downs,-23.3856,117.0322,WA,"rain gauge;",data,Ashburton River,Private owner,2024/10/10 00:00:00,8239
7124,Dalgety Downs,-25.2806,116.2083,WA,"rain gauge;",data,Gascoyne River,Private owner,2024/10/10 00:00:00,8240
7129,Melangata,-27.8036,116.8857,WA,"rain gauge;",data,Yarra Yarra Lakes,Private owner,2024/10/10 00:00:00,8241
7130,Milly Milly,-26.0747,116.6942,WA,"rain gauge;",data,Murchison River,Private owner,2024/10/10 00:00:00,8242
7132,Mount Clere,-25.0964,117.5922,WA,"rain gauge;",data,Gascoyne River,Bureau of Meteorology,2024/10/10 00:00:00,8243
7135,Murrum Station,-28.2747,117.3919,WA,"rain gauge;",data,Yarra Yarra Lakes,Private owner,2024/10/10 00:00:00,8244
